source_system,source_record_id,crm_customer_id,portal_user_id,record_created_date,preferred_contact_channel,first_name,surname,date_of_birth,email,telephone_number,address,postcode
CRM,CRM000001,CRM000001,USR000001,2024-09-21,Email,Victor,Thorpe,1984-06-27,victor.thorpe@yahoo.com,,"47 Phillip Club, Oxford",OX1 8QN
CRM,CRM000002,CRM000002,,2020-09-30,Mail,Arthur,Woodward,1995-01-31,arthur.woodward@yahoo.com,07597250530,"62 Josephine Port, Bristol",BS1 6VY
CRM,CRM000003,CRM000003,,2023-03-30,Email,Ben,Hussain,2002-08-02,BEN.HUSSAIN@HOTMAIL.CO.UK,+44 7541789277,"Flat 9, Neil Estate, Hull",HU1 2WE
CRM,CRM000004,CRM000004,,2025-09-15,Email,Maureen,Godfrey,1993-05-29,maureen.godfrey@gmail.com,+44 7358213601,"88 Graham Rest, London",SW1 5WL
CRM,CRM000005,CRM000005,,2023-05-20,Email,Melissa,Richards,1940-01-06,melissa.richards@gmail.com,+44 7009182445,"035 Douglas Walks, Edinburgh",EH1 5HL
CRM,CRM000006,CRM000006,USR000002,2021-01-04,Mail,Lynne,Wright,1968-06-24,lynne.wright@gmail.com,+44 7179312626,"570 Mandy Forges, Cambridge",CB1 0SF
CRM,CRM000007,CRM000007,,2025-06-22,Mail,Ryan,Taylor,2003-06-20,ryan.taylor@msn.com,+44 7426164015,"05 Burns Branch, Southampton",SO14 3KF
CRM,CRM000008,CRM000008,,2021-11-24,Email,Lydia,Preston,1982-11-02,lydia.preston@wanadoo.fr,+44 7604562139,"Flat 6, Stanley Mountain, Wrexham",LL11 2EX
CRM,CRM000009,CRM000009,USR000003,2019-03-22,Email,Christine,Armstrong,1989-06-26,christine.armstrong@aol.com,07430 039 286,"Studio 4, Samuel Throughway, London",W1 4SZ
CRM,CRM000010,CRM000010,USR000004,2018-01-07,Email,Hilary,Wilson,1978-09-25,hilary.wilson@gmail.com,+44 7191646406,"Studio 40, Deborah Divide, York",YO1 4CH
CRM,CRM000011,CRM000011,USR000005,2023-05-05,Email,Molly,Dixon,1959-10-14,molly.dixon@gmail.com,07895495043,"Studio 4, Miles Land, London",N1 6EV
CRM,CRM000012,CRM000012,USR000006,2020-07-09,Email,Kathleen,Lewis,1975-08-08,KATHLEEN.LEWIS@GMAIL.COM,+44 7283333273,"Studio 1, Pope Groves, Lisburn",BT27 6AD
CRM,CRM000013,CRM000013,USR000007,2023-12-27,Email,Paul,Hall,2005-10-11,paul.hall@gmail.com,,"Studio 23, Payne Tunnel, Southampton",
CRM,CRM000014,CRM000014,USR000008,2022-03-01,Email,Shane,Hughes,1979-01-27,shane.hughes@gmail.com,+44 7511471982,"71 O'Connor Corners, Derby",DE1 7CX
CRM,CRM000015,CRM000015,USR000009,2024-06-19,Mail,Stewart,Palmer,1956-11-07,stewart.palmer@yahoo.com,+44 7907297935,"956 Gallagher Alley, Edinburgh",EH1 2GU
CRM,CRM000016,CRM000016,USR000010,2020-09-23,Email,Karl,Horton,2002-08-25,karl.horton@hotmail.co.uk,+44 7603858426,"10 Harvey Rapids, London",E1 9OZ
CRM,CRM000017,CRM000017,USR000011,2019-09-13,Email,Gemma,Palmer,1961-05-07,gemma.palmer@hotmail.com,+44 7349976965,"2 Parkin Via, Lisburn",BT27 9KF
CRM,CRM000018,CRM000018,,2019-07-16,Mail,Bruce,Wright,1947-12-04,,+44 7082710204,"Studio 58C, Cooper Green, Shrewsbury",SY1 0LO
