source_system,source_record_id,transaction_id,transaction_date_time,guest_transaction,portal_user_id,billing_address,billing_postcode,event_id,event_name,event_category,event_date,ticket_type,ticket_quantity,unit_price,transaction_total,card_brand,cardholder_name,card_last_4,email,purchaser_first_name,purchaser_surname,telephone_number
ECOMMERCE,TXN000001,TXN000001,2025-01-01 00:13:36,True,,"Studio 0, Richard Mill, Inverness",IV19PV,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,Henry Brown,7171,henry.brown@hotmail.co.uk,eHnry,Brown,+44 7351514673
ECOMMERCE,TXN000002,TXN000002,2025-01-01 00:14:28,False,USR001219,"89 Bull Rest, Peterborough",PE1 9NX,EVT0014,The Last Promise,Theatre,2025-04-05,Standing,4,21.54,86.16,Mastercard,Judith Ward,3806,judith.ward@gmail.com,Judith,Ward,+447988459228
ECOMMERCE,TXN000003,TXN000003,2025-01-01 00:29:19,False,USR001326,"Flat 8, Jade Land, Peterborough",PE1 6YT,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,2,54.87,109.74,Visa,Thomas Shaw,8773,thomas.shaw@hotmail.fr,Thomas,Shaw,07824 147 807
ECOMMERCE,TXN000004,TXN000004,2025-01-01 00:31:30,True,,"397 Jayne Neck, Lincoln",LN1 3VZ,EVT0035,Comic Circuit,Comedy,2025-08-30,Standing,3,66.8,200.4,Mastercard,Lindsey Jackson,4518,lindsey.jackson@yahoo.com,Lindsey,Jackson,+44 7719438680
ECOMMERCE,TXN000005,TXN000005,2025-01-01 00:34:26,True,,"Flat 74L, Jacqueline Extensions, London",W1 4FK,EVT0005,Secret Quest,Family,2025-02-01,Standing,1,64.66,64.66,Mastercard,Raymond Mills,3958,raymond.mills@gmail.com,Raymond,Mills,+44 7921270560
ECOMMERCE,TXN000006,TXN000006,2025-01-01 00:37:26,True,,"4 Rice Mountains, Derry",BT48 8DA,EVT0012,Amazing Carnival,Family,2025-03-22,Seated,1,34.85,34.85,Mastercard,Dean Booth,7011,,Dean,Booth,+44 7097120096
ECOMMERCE,TXN000007,TXN000007,2025-01-01 00:42:52,True,,"Studio 5, Olivia Motorway, Nottingham",NG1 4WW,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,Martin Smith,9892,martin.smith@gmail.com,Martin,Smith,+44 7430755439
ECOMMERCE,TXN000008,TXN000008,2025-01-01 00:46:15,True,,"Studio 47, Frederick Port, Leeds",LS1 4BZ,EVT0012,Amazing Carnival,Family,2025-03-22,Standing,4,26.99,107.96,Mastercard,Zoe Gough,7591,zoe.gough@yahoo.com,Zoe,Gough,+44 7623211662
ECOMMERCE,TXN000009,TXN000009,2025-01-01 00:57:37,True,,"557 Hurst Forge, Carlisle",CA13DG,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,1,61.38,61.38,Visa,Roger Robinson,5162,roger.robinson@yahoo.com,Roger,Robinson,+44 7476759481
ECOMMERCE,TXN000010,TXN000010,2025-01-01 01:11:30,True,,"930 Barker Meadow, Coventry",CV1 7OQ,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,A. Mitchll,4602,angela.mitchell@yahoo.com,Angela,Mitchll,
ECOMMERCE,TXN000011,TXN000011,2025-01-01 01:16:44,True,,"37 Wilson Corners, Coventry",CV1 3DP,EVT0011,Echoing Echoes,Music,2025-03-15,Standing,3,53.24,159.72,Visa,Jamie Khan,7442,jamie.khan@gmail.com,Jamie,Khan,+44 7735474459
ECOMMERCE,TXN000012,TXN000012,2025-01-01 01:24:56,True,,"Studio 6, Rachael Orchard, Stoke-on-Trent",ST1 1FG,EVT0020,Colourful Quest,Family,2025-05-17,Standing,2,25.9,51.8,Mastercard,Annette Evans,0023,annette.evans@yahoo.com,Annette,Evans,+44 7150396093
ECOMMERCE,TXN000013,TXN000013,2025-01-01 01:30:47,False,USR001143,"Studio 75M, Alan Burg, Oxford",OX1 4EO,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,Clive Parker,2920,clive.parker@hotmail.com,Clive,Parker,+44 7781159037
