source_system,source_record_id,marketing_contact_id,contact_name,last_contact_date,consent_status,emails_opened_count,links_clicked_count,email,postcode
MARKETING,MKT000001,MKT000001,Ben_Hussain,2025-01-01,True,13,5,ben.hussain@hotmail.co.uk,HU1 2WE
MARKETING,MKT000002,MKT000002,Joshua_Martin,2025-01-01,True,7,0,joshua.martin@hotmail.com,DE1
MARKETING,MKT000003,MKT000003,Norman_Davies,2025-01-01,False,7,0,norman.davies@gmail.com,DH1 3WO
MARKETING,MKT000004,MKT000004,Dennis_Roberts,2025-01-01,False,8,2,dennis.roberts@hotmail.com,W1 9VU
MARKETING,MKT000005,MKT000005,Liam_Parker,2025-01-01,True,11,4,liam.parker@hotmail.com,N1 7VP
MARKETING,MKT000006,MKT000006,Daniel_Wallace,2025-01-01,True,2,0,daniel.wallace@hotmail.com,SO14 0BY
MARKETING,MKT000007,MKT000007,Frederick_Pearson,2025-01-01,False,6,1,frederick.pearson@gmail.com,ST1
MARKETING,MKT000008,MKT000008,Kathleen_Lewis,2025-01-01,True,6,1,kathleen.lewis@gmail.com,BT27 6AD
MARKETING,MKT000009,MKT000009,Martyn_Parkinson,2025-01-01,True,4,1,martyn.parkinson@hotmail.com,OX1 3PQ
MARKETING,MKT000010,MKT000010,Ryan_Shaw,2025-01-01,True,11,5,ryanshaw@yahoo.fr,PE1 2AS
MARKETING,MKT000011,MKT000011,Simon_George,2025-01-01,False,4,0,simon.george@gmail.com,S1 9AA
MARKETING,MKT000012,MKT000012,Emily_Jones,2025-01-01,True,6,1,emily.jones@gmail.com,BN1 8QN
MARKETING,MKT000013,MKT000013,William_Daniels,2025-01-01,True,7,2,william.daniels@yahoo.com,GL1 5WC
MARKETING,MKT000014,MKT000014,,2025-01-01,True,5,0,alexander.saunders@yahoo.com,BT1 2QA
MARKETING,MKT000015,MKT000015,Billy_Baldwin,2025-01-01,True,12,1,billy.baldwin@gmail.com,B1 0VW
MARKETING,MKT000016,MKT000016,Howard_Patel,2025-01-01,True,5,0,howard.patel@gmail.com,GL1 7KK
MARKETING,MKT000017,MKT000017,Timothy_Watson,2025-01-01,True,6,2,timothy.watson@gmail.com,GL1 5RZ
MARKETING,MKT000018,MKT000018,Louise_Stephens,2025-01-01,False,9,1,louise.stephens@yahoo.com,CM1 3IA
MARKETING,MKT000019,MKT000019,Katie_Slater,2025-01-01,True,2,2,katie.slater18@hotmail.co.uk,BA1 7CX
MARKETING,MKT000020,MKT000020,Robin_Day,2025-01-01,True,8,3,robin.day@gmail.com,AB10 2OM
MARKETING,MKT000021,MKT000021,Leonard_Thompson,2025-01-01,True,11,4,leonard.thompson@gmail.com,W1 1LU
MARKETING,MKT000022,MKT000022,Toby_Kerr,2025-01-01,True,7,0,toby.kerr@gmail.com,S1 7MK
MARKETING,MKT000023,MKT000023,Ashleigh_Dean,2025-01-01,True,13,4,ashleigh.dean@aol.com,PR1 4FE
MARKETING,MKT000024,MKT000024,Nathan_Harrison,2025-01-01,True,3,1,nathan.harrison@gmail.com,NR1 7DG
MARKETING,MKT000025,MKT000025,Jennifer_Patel,2025-01-01,True,6,2,jennifer.patel@hotmail.com,PR1 4YJ
MARKETING,MKT000026,MKT000026,Jill_Hall,2025-01-01,True,4,1,jill.hall@gmail.com,M1 5UG
MARKETING,MKT000027,MKT000027,Garry_Lewis,2025-01-01,True,10,5,garry.lewis@orange.fr,ST1 3FJ
MARKETING,MKT000028,MKT000028,Shaun_Reed,2025-01-02,False,10,1,shaun.reed@hotmail.com,PO1 5GX
MARKETING,MKT000029,MKT000029,Lynne_Ferguson,2025-01-02,True,5,2,lynne.ferguson@gmail.com,S40 6UN
MARKETING,MKT000030,MKT000030,Derek_Morris,2025-01-02,True,6,0,derek.morris@hotmail.com,BH1 0ON
MARKETING,MKT000031,MKT000031,Julian_Wilson,2025-01-02,False,3,0,julian.wilson@hotmail.com,SA1 1ND
MARKETING,MKT000032,MKT000032,Bryan_Singh,2025-01-02,False,6,1,bryan.singh@gmail.com,YO1 5GJ
MARKETING,MKT000033,MKT000033,Clifford_Burke,2025-01-02,False,5,0,clifford.burke@yahoo.com,CB1 4VT
MARKETING,MKT000034,MKT000034,Megan_Harvey,2025-01-02,False,7,3,megan.harvey@gmail.com,BT34 9PB
MARKETING,MKT000035,MKT000035,Rita_Jones,2025-01-02,True,7,2,rita.jones@yahoo.com,CA1 8EB
MARKETING,MKT000036,MKT000036,Sara_Parkinson,2025-01-02,True,10,1,sara.parkinson@yahoo.com,CH1 7BG
MARKETING,MKT000037,MKT000037,Reebcca_Harris,2025-01-02,True,10,3,rebecca.harris@gmail.com,B1 5NN
MARKETING,MKT000038,MKT000038,Judith_Roberts,2025-01-02,True,5,2,judith.roberts@wanadoo.fr,AB10 2ZJ
