source_system,source_record_id,support_ticket_id,support_ticket_created_date_time,requester_name,requester_email,requester_phone,contact_channel,issue_category,ticket_status,resolution_time_hours_minutes
SUPPORT,SUP000001,SUP000001,2025-01-01 03:37:46,Hollie Smith,hollie.smith@yahoo.fr,+44 7962334231,Email,Complaint,Resolved,38:56
SUPPORT,SUP000002,SUP000002,2025-01-01 05:49:50,Vincent Gregory,vincent.gregory@gmail.com,+44 7789656227,Email,Complaint,Resolved,38:55
SUPPORT,SUP000003,SUP000003,2025-01-01 06:40:57,Kimberley Patel,kimberley.patel@hotmail.com,+44 7507794405,Email,Refund request,Resolved,42:59
SUPPORT,SUP000004,SUP000004,2025-01-01 08:32:08,Debra Forster,debra.forster@hotmail.com,+44 7133863501,Phone,Refund request,Resolved,33:35
SUPPORT,SUP000005,SUP000005,2025-01-01 12:24:16,Alison Hall,alison.hall@yahoo.com,+44 7039760254,Phone,Complaint,Resolved,08:12
SUPPORT,SUP000006,SUP000006,2025-01-01 13:56:05,Geoffrey Hill,geoffrey.hill@hotmail.com,+44 7607153863,Email,Complaint,Resolved,20:07
SUPPORT,SUP000007,SUP000007,2025-01-01 15:11:06,Natasha Baldwin,natasha.baldwin@gmail.com,+44 7963877746,Email,Refund request,Resolved,43:51
SUPPORT,SUP000008,SUP000008,2025-01-01 15:48:12,Lydia Foster,lydia.foster@hotmail.co.uk,+44 7288908408,Email,Accessibility,Resolved,03:53
SUPPORT,SUP000009,SUP000009,2025-01-01 16:06:29,Dawn Lynch,dawn.lynch@yahoo.com,+44 7833307013,Email,Enquiry,Resolved,03:20
SUPPORT,SUP000010,SUP000010,2025-01-01 19:18:14,Shaun Booth,shaun.booth@gmail.com,+44 7697275107,Email,Refund request,Resolved,02:22
SUPPORT,SUP000011,SUP000011,2025-01-01 20:12:56,Toby Hanon,toby.hanson@gmail.com,+44 7549076479,Email,Complaint,Resolved,29:37
SUPPORT,SUP000012,SUP000012,2025-01-01 22:23:54,Garry Brown,garry.brown@gmail.com,+44 7076883215,Email,Complaint,Resolved,17:33
SUPPORT,SUP000013,SUP000013,2025-01-01 23:45:37,Jean Turner,jean.turner@gmail.com,+44 7360291317,Phone,Accessibility,Resolved,23:55
SUPPORT,SUP000014,SUP000014,2025-01-02 02:30:57,Lynne Ford,lynne.ford@yahoo.com,+44 7766995270,Email,Refund request,Resolved,08:30
SUPPORT,SUP000015,SUP000015,2025-01-02 02:36:36,Martin Benson,martin.benson@hotmail.com,+44 7543066694,Phone,Enquiry,Resolved,02:56
SUPPORT,SUP000016,SUP000016,2025-01-02 08:21:12,Bradley Smith,bradley.smith@aol.com,,Email,Refund request,Resolved,07:43
SUPPORT,SUP000017,SUP000017,2025-01-02 11:50:10,Sheila Smith,sheila.smih@yahoo.com,,Email,Refund request,Resolved,32:07
SUPPORT,SUP000018,SUP000018,2025-01-02 13:17:53,Bethany Brown,bethany.brown@aol.com,+44 7795857901,Email,Refund request,Resolved,11:53
SUPPORT,SUP000019,SUP000019,2025-01-02 18:22:02,Joanna Martin,joanna.martin@hotmail.co.uk,+44 7348905937,Email,Complaint,Resolved,14:41
SUPPORT,SUP000020,SUP000020,2025-01-02 19:49:39,Phillip McDonald,phillip.mcdonald@gmail.com,+44 7398243903,Email,Enquiry,Resolved,04:04
SUPPORT,SUP000021,SUP000021,2025-01-02 21:44:20,Lesley Gibbs,lesley.gibbs@yahoo.com,,Email,Refund request,Resolved,05:11
SUPPORT,SUP000022,SUP000022,2025-01-02 21:52:29,Deborah White,deborah.white@hotmail.com,+44 7200807113,Email,Refund request,Resolved,06:57
SUPPORT,SUP000023,SUP000023,2025-01-02 21:58:26,Glenn Greenwood,glenn.greenwood@yahoo.com,+44 7547326093,Email,Complaint,Open,
SUPPORT,SUP000024,SUP000024,2025-01-02 22:54:19,Henry Wright,,+44 7851334649,Phone,Accessibility,Resolved,11:09
SUPPORT,SUP000025,SUP000025,2025-01-02 23:04:36,Shirley Holden,shirley.holden@hotmail.com,+44 7504972217,Email,Accessibility,Resolved,06:45
SUPPORT,SUP000026,SUP000026,2025-01-03 01:42:52,Craig Birch,craig.birch@hotmail.com,+44 7656047604,Phone,Enquiry,Resolved,10:20
SUPPORT,SUP000027,SUP000027,2025-01-03 04:41:06,Damien Spencer,damien.spencer@aol.com,+44 7684650992,Email,Accessibility,Resolved,08:49
SUPPORT,SUP000028,SUP000028,2025-01-03 04:49:29,Jeremy Barnes,jeremy.barnes@orange.fr,+44 7485153106,Email,Complaint,Resolved,24:24
SUPPORT,SUP000029,SUP000029,2025-01-03 05:48:02,Dale Kelly,dale.kelly@yahoo.com,+44 7988328151,Phone,Enquiry,Resolved,02:07
SUPPORT,SUP000030,SUP000030,2025-01-03 06:34:38,Jean Collier,jean.colier@yahoo.com,,Email,Accessibility,Resolved,14:37
SUPPORT,SUP000031,SUP000031,2025-01-03 07:35:47,Charles Ahmed,charles.ahmed@gmail.com,+44 7250536859,Email,Accessibility,Open,
SUPPORT,SUP000032,SUP000032,2025-01-03 13:52:37,Joseph Hill,,+44 7022316554,Phone,Complaint,Resolved,14:57
SUPPORT,SUP000033,SUP000033,2025-01-03 14:27:14,Gerald Owen,gerald.owen@hotmail.com,+44 7047412653,Email,Enquiry,Resolved,02:54
SUPPORT,SUP000034,SUP000034,2025-01-03 15:33:54,Marilyn Reynolds,marilyn.ryenolds@gmail.com,,Email,Enquiry,Resolved,04:27
SUPPORT,SUP000035,SUP000035,2025-01-03 16:46:24,Allan Webster,allan.webster@hotmail.com,+44 7216711670,Email,Accessibility,Resolved,07:32
SUPPORT,SUP000036,SUP000036,2025-01-03 18:50:12,Julie Reeves,julie.reeves@msn.com,,Email,Enquiry,Resolved,10:29
SUPPORT,SUP000037,SUP000037,2025-01-03 20:29:04,Joanne Dean,,+44 7882597693,Phone,Refund request,Resolved,27:29
SUPPORT,SUP000038,SUP000038,2025-01-03 23:03:00,Glen Ali,glen.ali2@gmail.com,,Email,Refund request,Resolved,07:52
SUPPORT,SUP000039,SUP000039,2025-01-04 04:44:29,Naomi Simpson,naomi.simpson@hotmail.com,+44 7111150543,Email,Enquiry,Resolved,11:07
SUPPORT,SUP000040,SUP000040,2025-01-04 04:54:39,Jacob Dickinson,jacob.dickinson@gmail.com,+44 7770732348,Email,Enquiry,Resolved,04:55
SUPPORT,SUP000041,SUP000041,2025-01-04 06:33:59,Susan Wong,susan.wong@gmail.com,+44 7162115311,Phone,Complaint,Resolved,22:32
SUPPORT,SUP000042,SUP000042,2025-01-04 09:27:08,Charlotte Moore,charlotte.moore@orange.fr,+44 7623351146,Email,Accessibility,Resolved,31:40
SUPPORT,SUP000043,SUP000043,2025-01-04 12:05:04,Alexandra Walker,alexandra.walker@yahoo.com,+44 7668248051,Email,Refund request,Open,
SUPPORT,SUP000044,SUP000044,2025-01-04 18:13:30,Josh Matthews,josh.matthews@hotmail.com,+44 7506988216,Email,Complaint,Resolved,12:18
SUPPORT,SUP000045,SUP000045,2025-01-04 19:14:25,Melissa Spencer,melissa.spencer@hotmail.com,+44 7332466477,Email,Complaint,Open,
SUPPORT,SUP000046,SUP000046,2025-01-04 23:02:10,Christine Dodd,christine.dodd@hotmail.com,+44 7417413260,Email,Enquiry,Resolved,02:51
SUPPORT,SUP000047,SUP000047,2025-01-05 04:30:56,Kevin Akhtar,kevin.akhtar@gmail.com,+44 7005609381,Email,Enquiry,Resolved,00:45
SUPPORT,SUP000048,SUP000048,2025-01-05 08:27:00,Brandon Greenwood,brandon.greenwood@hotmail.com,+44 7139698790,Email,Enquiry,Resolved,06:05
SUPPORT,SUP000049,SUP000049,2025-01-05 10:02:50,Jill Smiht,jill.smith@hotmail.com,,Email,Enquiry,Resolved,05:10
SUPPORT,SUP000050,SUP000050,2025-01-05 11:39:30,Toby Wong,toby.wong@gmail.com,,Email,Complaint,Resolved,12:48
SUPPORT,SUP000051,SUP000051,2025-01-05 11:53:46,Stacey Taylor,stacey.taylor@hotmail.com,,Email,Accessibility,Resolved,05:27
SUPPORT,SUP000052,SUP000052,2025-01-05 14:03:21,Katherine Welch,katherine.welch@aol.com,+44 7141947530,Email,Refund request,Resolved,02:00
SUPPORT,SUP000053,SUP000053,2025-01-05 14:52:55,Denise Jordan,denise.jordan@hotmail.com,+44 7536273984,Email,Refund request,Open,
SUPPORT,SUP000054,SUP000054,2025-01-05 15:14:51,Natasha Chapman,,+44 7038125439,Phone,Enquiry,Open,
SUPPORT,SUP000055,SUP000055,2025-01-05 16:52:08,Linda Watson,linda.watson@aol.com,,Email,Complaint,Resolved,13:43
SUPPORT,SUP000056,SUP000056,2025-01-05 18:14:14,Gerard Robson,egrard.robson@gmail.com,+44 7944022007,Email,Complaint,Resolved,04:34
SUPPORT,SUP000057,SUP000057,2025-01-05 21:20:44,Janice Roberts,janice.roberts@hotmail.com,+44 7730534585,Email,Refund request,Open,
SUPPORT,SUP000058,SUP000058,2025-01-05 22:59:48,Joanne Brady,joanne.brady@yahoo.com,+44 7101676583,Email,Enquiry,Resolved,05:06
SUPPORT,SUP000059,SUP000059,2025-01-05 23:02:42,Kathryn Henderson,kathryn.henderson@yahoo.com,+44 7951999532,Phone,Complaint,Resolved,72:00
SUPPORT,SUP000060,SUP000060,2025-01-06 00:03:26,Alice Hill,alice.hill@orange.fr,+44 7659305904,Email,Refund request,Resolved,20:32
SUPPORT,SUP000061,SUP000061,2025-01-06 01:09:50,Sam Arnold,sam.arnold@hotmail.com,,Email,Enquiry,Resolved,02:59
SUPPORT,SUP000062,SUP000062,2025-01-06 04:00:00,Alison Baker,alison.baker@yahoo.com,,Email,Complaint,Resolved,30:08
SUPPORT,SUP000063,SUP000063,2025-01-06 04:40:48,Glenn Faulkner,glenn.faulkner@gmail.com,+44 7045414070,Phone,Enquiry,Resolved,02:25
SUPPORT,SUP000064,SUP000064,2025-01-06 10:36:25,Sheila Kelly,sheila.kelly@yahoo.com,+44 7830004825,Email,Refund request,Resolved,21:18
SUPPORT,SUP000065,SUP000065,2025-01-06 13:21:23,Frederick Griffiths,federick.griffiths@yahoo.com,+44 7088961660,Email,Enquiry,Resolved,04:34
SUPPORT,SUP000066,SUP000066,2025-01-06 14:42:40,Diane Slater,diane.slater@gmail.com,,Email,Enquiry,Resolved,10:50
SUPPORT,SUP000067,SUP000067,2025-01-06 15:23:17,Shirley Lewis,shirley.lewis@hotmail.com,+44 7957976875,Phone,Refund request,Resolved,16:19
SUPPORT,SUP000068,SUP000068,2025-01-06 16:30:56,Andrea Anderson,andrea.anderson@hotmail.com,,Email,Accessibility,Resolved,15:18
SUPPORT,SUP000069,SUP000069,2025-01-06 17:22:48,Alison Boyle,alison.boyle@hotmail.com,+44 7118386063,Email,Refund request,Resolved,32:16
SUPPORT,SUP000070,SUP000070,2025-01-06 19:48:15,Ben Evans,ben.evans@gmail.com,+44 7818548881,Phone,Accessibility,Resolved,02:58
SUPPORT,SUP000071,SUP000071,2025-01-07 00:16:44,Samantha Ryan,samantha.ryan@yahoo.fr,+44 7007584297,Phone,Complaint,Open,
SUPPORT,SUP000072,SUP000072,2025-01-07 02:07:37,George Walker,george.walker@hotmail.co.uk,+44 7267008272,Phone,Accessibility,Resolved,03:53
SUPPORT,SUP000073,SUP000073,2025-01-07 03:33:14,Darren Kemp,darren.kemp@hotmail.com,+44 7021087306,Phone,Complaint,Open,
SUPPORT,SUP000074,SUP000074,2025-01-07 03:51:18,Gareth Stephenson,gareth.stephenson@hotmail.com,+44 7126060858,Email,Accessibility,Open,
SUPPORT,SUP000075,SUP000075,2025-01-07 04:33:39,Amelia Day,amelia.day@yahoo.com,+44 7958066067,Phone,Accessibility,Resolved,16:06
SUPPORT,SUP000076,SUP000076,2025-01-07 06:08:20,Jordan Gibbs,jordan.gibbs@aol.com,,Email,Enquiry,Open,
SUPPORT,SUP000077,SUP000077,2025-01-07 18:06:55,Catherine Barker,catherine.barker@hotmail.com,+44 7786804093,Phone,Accessibility,Resolved,01:16
SUPPORT,SUP000078,SUP000078,2025-01-07 19:26:54,Jayne Shepherd,jayne.shepherd@hotmail.com,+44 7027046432,Email,Refund request,Resolved,10:19
SUPPORT,SUP000079,SUP000079,2025-01-07 22:55:36,Gavin Nelson,gavin.nelson@hotmail.com,+44 7390069567,Email,Complaint,Resolved,04:26
SUPPORT,SUP000080,SUP000080,2025-01-08 00:45:05,Hollie Elliott,hollie.elliott@hotmail.com,+44 7185184620,Email,Accessibility,Resolved,15:20
SUPPORT,SUP000081,SUP000081,2025-01-08 01:02:22,Ben Dale,ben.dale@hotmail.com,+44 7402904280,Phone,Enquiry,Open,
SUPPORT,SUP000082,SUP000082,2025-01-08 04:48:27,Owen Davies,owen.davies@aol.com,+44 7349587724,Phone,Complaint,Resolved,15:02
SUPPORT,SUP000083,SUP000083,2025-01-08 06:45:48,Elaine Campbell,elaine.campbell@yahoo.com,+44 7476511219,Email,Refund request,Resolved,15:42
SUPPORT,SUP000084,SUP000084,2025-01-08 09:53:25,Clare Evans,clare.evans@gmail.com,+44 7913313044,Email,Enquiry,Resolved,08:14
SUPPORT,SUP000085,SUP000085,2025-01-08 11:18:26,Josh Matthews,josh.matthews@hotmail.com,+44 7506988219,Email,Refund request,Resolved,10:24
SUPPORT,SUP000086,SUP000086,2025-01-08 11:29:51,Kathryn Cole,katrhyn.cole@hotmail.com,+44 7923985482,Phone,Enquiry,Resolved,02:11
SUPPORT,SUP000087,SUP000087,2025-01-08 12:50:46,Sarah Vincent,sarah.vnicent@hotmail.com,+44 7742586794,Email,Enquiry,Resolved,03:32
SUPPORT,SUP000088,SUP000088,2025-01-08 16:31:37,Angela Cook,angela.cook@hotmail.com,+44 7872256618,Email,Enquiry,Resolved,02:02
SUPPORT,SUP000089,SUP000089,2025-01-08 16:55:34,Samantha Matthews,samantha.matthews@hotmail.com,+44 7017646240,Email,Enquiry,Resolved,04:03
SUPPORT,SUP000090,SUP000090,2025-01-08 22:17:50,James Barnett,james.barnett@hotmail.com,+44 7085339159,Phone,Refund request,Resolved,39:04
SUPPORT,SUP000091,SUP000091,2025-01-08 23:07:27,Stacey Curtis,stacey.curtis@gmail.com,+44 7751118992,Email,Refund request,Open,
SUPPORT,SUP000092,SUP000092,2025-01-09 02:51:44,Clifford Bennett,,+44 7826169049,Phone,Enquiry,Open,
SUPPORT,SUP000093,SUP000093,2025-01-09 04:00:43,Debra Williams,debra.williams@yahoo.com,+44 7956758906,Email,Enquiry,Resolved,04:58
SUPPORT,SUP000094,SUP000094,2025-01-09 05:25:35,Gerard Smith,gerard.smith@hotmail.com,+44 7676354889,Email,Refund request,Open,
SUPPORT,SUP000095,SUP000095,2025-01-09 11:05:26,Dennis Graham,denni.sgraham@gmail.com,+44 7678519791,Email,Accessibility,Resolved,10:26
SUPPORT,SUP000096,SUP000096,2025-01-09 15:21:40,Amanda Fraser,amanda.fraser@gmail.com,+44 7358210777,Phone,Enquiry,Resolved,05:21
SUPPORT,SUP000097,SUP000097,2025-01-09 17:38:48,Lindsey Spencer,lindsey.spencer@hotmail.com,+44 7910762273,Email,Refund request,Resolved,28:26
SUPPORT,SUP000098,SUP000098,2025-01-09 21:07:00,Rebecca Bennett,rebecca.bennett@gmail.com,+44 7234945545,Email,Refund request,Resolved,39:06
SUPPORT,SUP000099,SUP000099,2025-01-09 21:59:36,Stanley Parker,stanley.parker@gmail.com,+44 7168437815,Email,Refund request,Resolved,07:50
SUPPORT,SUP000100,SUP000100,2025-01-09 22:03:16,Dennis Craig,dennis.craig@yahoo.fr,+44 7076701153,Email,Complaint,Resolved,20:18
SUPPORT,SUP000101,SUP000101,2025-01-09 22:11:48,Deborah O'Connor,deborah.oconnor@yahoo.com,+44 7093257056,Email,Refund request,Resolved,04:54
SUPPORT,SUP000102,SUP000102,2025-01-09 22:22:02,Catherine Andrews,catherine.andrews@yahoo.com,,Email,Enquiry,Resolved,07:28
