source_system,source_record_id,crm_customer_id,transaction_id,marketing_contact_id,session_id,support_ticket_id,portal_user_id,linked_transaction_id,first_name_raw,surname_raw,full_name_raw,email_raw,phone_raw,address_raw,postcode_raw,date_of_birth_raw,first_name_normalised,surname_normalised,full_name_normalised,email_normalised,phone_normalised,address_normalised,postcode_normalised,date_of_birth_normalised,record_created_date,preferred_contact_channel,first_name,surname,date_of_birth,email,telephone_number,address,postcode
CRM,CRM000001,CRM000001,,,,,USR000001,,Victor,Thorpe,Victor Thorpe,victor.thorpe@yahoo.com,,"47 Phillip Club, Oxford",OX1 8QN,1984-06-27,victor,thorpe,victorthorpe,victor.thorpe@yahoo.com,,47 phillip club oxford,OX18QN,1984-06-27,2024-09-21,Email,Victor,Thorpe,1984-06-27,victor.thorpe@yahoo.com,,"47 Phillip Club, Oxford",OX1 8QN
CRM,CRM000002,CRM000002,,,,,,,Arthur,Woodward,Arthur Woodward,arthur.woodward@yahoo.com,07597250530,"62 Josephine Port, Bristol",BS1 6VY,1995-01-31,arthur,woodward,arthurwoodward,arthur.woodward@yahoo.com,07597250530,62 josephine port bristol,BS16VY,1995-01-31,2020-09-30,Mail,Arthur,Woodward,1995-01-31,arthur.woodward@yahoo.com,07597250530,"62 Josephine Port, Bristol",BS1 6VY
CRM,CRM000003,CRM000003,,,,,,,Ben,Hussain,Ben Hussain,BEN.HUSSAIN@HOTMAIL.CO.UK,+44 7541789277,"Flat 9, Neil Estate, Hull",HU1 2WE,2002-08-02,ben,hussain,benhussain,ben.hussain@hotmail.co.uk,07541789277,flat 9 neil estate hull,HU12WE,2002-08-02,2023-03-30,Email,Ben,Hussain,2002-08-02,BEN.HUSSAIN@HOTMAIL.CO.UK,+44 7541789277,"Flat 9, Neil Estate, Hull",HU1 2WE
CRM,CRM000004,CRM000004,,,,,,,Maureen,Godfrey,Maureen Godfrey,maureen.godfrey@gmail.com,+44 7358213601,"88 Graham Rest, London",SW1 5WL,1993-05-29,maureen,godfrey,maureengodfrey,maureen.godfrey@gmail.com,07358213601,88 graham rest london,SW15WL,1993-05-29,2025-09-15,Email,Maureen,Godfrey,1993-05-29,maureen.godfrey@gmail.com,+44 7358213601,"88 Graham Rest, London",SW1 5WL
CRM,CRM000005,CRM000005,,,,,,,Melissa,Richards,Melissa Richards,melissa.richards@gmail.com,+44 7009182445,"035 Douglas Walks, Edinburgh",EH1 5HL,1940-01-06,melissa,richards,melissarichards,melissa.richards@gmail.com,07009182445,035 douglas walks edinburgh,EH15HL,1940-01-06,2023-05-20,Email,Melissa,Richards,1940-01-06,melissa.richards@gmail.com,+44 7009182445,"035 Douglas Walks, Edinburgh",EH1 5HL
CRM,CRM000006,CRM000006,,,,,USR000002,,Lynne,Wright,Lynne Wright,lynne.wright@gmail.com,+44 7179312626,"570 Mandy Forges, Cambridge",CB1 0SF,1968-06-24,lynne,wright,lynnewright,lynne.wright@gmail.com,07179312626,570 mandy forges cambridge,CB10SF,1968-06-24,2021-01-04,Mail,Lynne,Wright,1968-06-24,lynne.wright@gmail.com,+44 7179312626,"570 Mandy Forges, Cambridge",CB1 0SF
CRM,CRM000007,CRM000007,,,,,,,Ryan,Taylor,Ryan Taylor,ryan.taylor@msn.com,+44 7426164015,"05 Burns Branch, Southampton",SO14 3KF,2003-06-20,ryan,taylor,ryantaylor,ryan.taylor@msn.com,07426164015,05 burns branch southampton,SO143KF,2003-06-20,2025-06-22,Mail,Ryan,Taylor,2003-06-20,ryan.taylor@msn.com,+44 7426164015,"05 Burns Branch, Southampton",SO14 3KF
CRM,CRM000008,CRM000008,,,,,,,Lydia,Preston,Lydia Preston,lydia.preston@wanadoo.fr,+44 7604562139,"Flat 6, Stanley Mountain, Wrexham",LL11 2EX,1982-11-02,lydia,preston,lydiapreston,lydia.preston@wanadoo.fr,07604562139,flat 6 stanley mountain wrexham,LL112EX,1982-11-02,2021-11-24,Email,Lydia,Preston,1982-11-02,lydia.preston@wanadoo.fr,+44 7604562139,"Flat 6, Stanley Mountain, Wrexham",LL11 2EX
CRM,CRM000009,CRM000009,,,,,USR000003,,Christine,Armstrong,Christine Armstrong,christine.armstrong@aol.com,07430 039 286,"Studio 4, Samuel Throughway, London",W1 4SZ,1989-06-26,christine,armstrong,christinearmstrong,christine.armstrong@aol.com,07430039286,studio 4 samuel throughway london,W14SZ,1989-06-26,2019-03-22,Email,Christine,Armstrong,1989-06-26,christine.armstrong@aol.com,07430 039 286,"Studio 4, Samuel Throughway, London",W1 4SZ
CRM,CRM000010,CRM000010,,,,,USR000004,,Hilary,Wilson,Hilary Wilson,hilary.wilson@gmail.com,+44 7191646406,"Studio 40, Deborah Divide, York",YO1 4CH,1978-09-25,hilary,wilson,hilarywilson,hilary.wilson@gmail.com,07191646406,studio 40 deborah divide york,YO14CH,1978-09-25,2018-01-07,Email,Hilary,Wilson,1978-09-25,hilary.wilson@gmail.com,+44 7191646406,"Studio 40, Deborah Divide, York",YO1 4CH
