source_system,source_record_id,crm_customer_id,transaction_id,marketing_contact_id,session_id,support_ticket_id,portal_user_id,linked_transaction_id,first_name_raw,surname_raw,full_name_raw,email_raw,phone_raw,address_raw,postcode_raw,date_of_birth_raw,first_name_normalised,surname_normalised,full_name_normalised,email_normalised,phone_normalised,address_normalised,postcode_normalised,date_of_birth_normalised,contact_name,last_contact_date,consent_status,emails_opened_count,links_clicked_count,email,postcode
MARKETING,MKT000001,,,MKT000001,,,,,,,Ben_Hussain,ben.hussain@hotmail.co.uk,,,HU1 2WE,,,,benhussain,ben.hussain@hotmail.co.uk,,,HU12WE,,Ben_Hussain,2025-01-01,True,13,5,ben.hussain@hotmail.co.uk,HU1 2WE
MARKETING,MKT000002,,,MKT000002,,,,,,,Joshua_Martin,joshua.martin@hotmail.com,,,DE1,,,,joshuamartin,joshua.martin@hotmail.com,,,DE1,,Joshua_Martin,2025-01-01,True,7,0,joshua.martin@hotmail.com,DE1
MARKETING,MKT000003,,,MKT000003,,,,,,,Norman_Davies,norman.davies@gmail.com,,,DH1 3WO,,,,normandavies,norman.davies@gmail.com,,,DH13WO,,Norman_Davies,2025-01-01,False,7,0,norman.davies@gmail.com,DH1 3WO
MARKETING,MKT000004,,,MKT000004,,,,,,,Dennis_Roberts,dennis.roberts@hotmail.com,,,W1 9VU,,,,dennisroberts,dennis.roberts@hotmail.com,,,W19VU,,Dennis_Roberts,2025-01-01,False,8,2,dennis.roberts@hotmail.com,W1 9VU
MARKETING,MKT000005,,,MKT000005,,,,,,,Liam_Parker,liam.parker@hotmail.com,,,N1 7VP,,,,liamparker,liam.parker@hotmail.com,,,N17VP,,Liam_Parker,2025-01-01,True,11,4,liam.parker@hotmail.com,N1 7VP
MARKETING,MKT000006,,,MKT000006,,,,,,,Daniel_Wallace,daniel.wallace@hotmail.com,,,SO14 0BY,,,,danielwallace,daniel.wallace@hotmail.com,,,SO140BY,,Daniel_Wallace,2025-01-01,True,2,0,daniel.wallace@hotmail.com,SO14 0BY
MARKETING,MKT000007,,,MKT000007,,,,,,,Frederick_Pearson,frederick.pearson@gmail.com,,,ST1,,,,frederickpearson,frederick.pearson@gmail.com,,,ST1,,Frederick_Pearson,2025-01-01,False,6,1,frederick.pearson@gmail.com,ST1
MARKETING,MKT000008,,,MKT000008,,,,,,,Kathleen_Lewis,kathleen.lewis@gmail.com,,,BT27 6AD,,,,kathleenlewis,kathleen.lewis@gmail.com,,,BT276AD,,Kathleen_Lewis,2025-01-01,True,6,1,kathleen.lewis@gmail.com,BT27 6AD
MARKETING,MKT000009,,,MKT000009,,,,,,,Martyn_Parkinson,martyn.parkinson@hotmail.com,,,OX1 3PQ,,,,martynparkinson,martyn.parkinson@hotmail.com,,,OX13PQ,,Martyn_Parkinson,2025-01-01,True,4,1,martyn.parkinson@hotmail.com,OX1 3PQ
MARKETING,MKT000010,,,MKT000010,,,,,,,Ryan_Shaw,ryanshaw@yahoo.fr,,,PE1 2AS,,,,ryanshaw,ryanshaw@yahoo.fr,,,PE12AS,,Ryan_Shaw,2025-01-01,True,11,5,ryanshaw@yahoo.fr,PE1 2AS
MARKETING,MKT000011,,,MKT000011,,,,,,,Simon_George,simon.george@gmail.com,,,S1 9AA,,,,simongeorge,simon.george@gmail.com,,,S19AA,,Simon_George,2025-01-01,False,4,0,simon.george@gmail.com,S1 9AA
MARKETING,MKT000012,,,MKT000012,,,,,,,Emily_Jones,emily.jones@gmail.com,,,BN1 8QN,,,,emilyjones,emily.jones@gmail.com,,,BN18QN,,Emily_Jones,2025-01-01,True,6,1,emily.jones@gmail.com,BN1 8QN
MARKETING,MKT000013,,,MKT000013,,,,,,,William_Daniels,william.daniels@yahoo.com,,,GL1 5WC,,,,williamdaniels,william.daniels@yahoo.com,,,GL15WC,,William_Daniels,2025-01-01,True,7,2,william.daniels@yahoo.com,GL1 5WC
MARKETING,MKT000014,,,MKT000014,,,,,,,,alexander.saunders@yahoo.com,,,BT1 2QA,,,,,alexander.saunders@yahoo.com,,,BT12QA,,,2025-01-01,True,5,0,alexander.saunders@yahoo.com,BT1 2QA
MARKETING,MKT000015,,,MKT000015,,,,,,,Billy_Baldwin,billy.baldwin@gmail.com,,,B1 0VW,,,,billybaldwin,billy.baldwin@gmail.com,,,B10VW,,Billy_Baldwin,2025-01-01,True,12,1,billy.baldwin@gmail.com,B1 0VW
MARKETING,MKT000016,,,MKT000016,,,,,,,Howard_Patel,howard.patel@gmail.com,,,GL1 7KK,,,,howardpatel,howard.patel@gmail.com,,,GL17KK,,Howard_Patel,2025-01-01,True,5,0,howard.patel@gmail.com,GL1 7KK
MARKETING,MKT000017,,,MKT000017,,,,,,,Timothy_Watson,timothy.watson@gmail.com,,,GL1 5RZ,,,,timothywatson,timothy.watson@gmail.com,,,GL15RZ,,Timothy_Watson,2025-01-01,True,6,2,timothy.watson@gmail.com,GL1 5RZ
MARKETING,MKT000018,,,MKT000018,,,,,,,Louise_Stephens,louise.stephens@yahoo.com,,,CM1 3IA,,,,louisestephens,louise.stephens@yahoo.com,,,CM13IA,,Louise_Stephens,2025-01-01,False,9,1,louise.stephens@yahoo.com,CM1 3IA
MARKETING,MKT000019,,,MKT000019,,,,,,,Katie_Slater,katie.slater18@hotmail.co.uk,,,BA1 7CX,,,,katieslater,katie.slater18@hotmail.co.uk,,,BA17CX,,Katie_Slater,2025-01-01,True,2,2,katie.slater18@hotmail.co.uk,BA1 7CX
MARKETING,MKT000020,,,MKT000020,,,,,,,Robin_Day,robin.day@gmail.com,,,AB10 2OM,,,,robinday,robin.day@gmail.com,,,AB102OM,,Robin_Day,2025-01-01,True,8,3,robin.day@gmail.com,AB10 2OM
MARKETING,MKT000021,,,MKT000021,,,,,,,Leonard_Thompson,leonard.thompson@gmail.com,,,W1 1LU,,,,leonardthompson,leonard.thompson@gmail.com,,,W11LU,,Leonard_Thompson,2025-01-01,True,11,4,leonard.thompson@gmail.com,W1 1LU
MARKETING,MKT000022,,,MKT000022,,,,,,,Toby_Kerr,toby.kerr@gmail.com,,,S1 7MK,,,,tobykerr,toby.kerr@gmail.com,,,S17MK,,Toby_Kerr,2025-01-01,True,7,0,toby.kerr@gmail.com,S1 7MK
MARKETING,MKT000023,,,MKT000023,,,,,,,Ashleigh_Dean,ashleigh.dean@aol.com,,,PR1 4FE,,,,ashleighdean,ashleigh.dean@aol.com,,,PR14FE,,Ashleigh_Dean,2025-01-01,True,13,4,ashleigh.dean@aol.com,PR1 4FE
MARKETING,MKT000024,,,MKT000024,,,,,,,Nathan_Harrison,nathan.harrison@gmail.com,,,NR1 7DG,,,,nathanharrison,nathan.harrison@gmail.com,,,NR17DG,,Nathan_Harrison,2025-01-01,True,3,1,nathan.harrison@gmail.com,NR1 7DG
MARKETING,MKT000025,,,MKT000025,,,,,,,Jennifer_Patel,jennifer.patel@hotmail.com,,,PR1 4YJ,,,,jenniferpatel,jennifer.patel@hotmail.com,,,PR14YJ,,Jennifer_Patel,2025-01-01,True,6,2,jennifer.patel@hotmail.com,PR1 4YJ
MARKETING,MKT000026,,,MKT000026,,,,,,,Jill_Hall,jill.hall@gmail.com,,,M1 5UG,,,,jillhall,jill.hall@gmail.com,,,M15UG,,Jill_Hall,2025-01-01,True,4,1,jill.hall@gmail.com,M1 5UG
MARKETING,MKT000027,,,MKT000027,,,,,,,Garry_Lewis,garry.lewis@orange.fr,,,ST1 3FJ,,,,garrylewis,garry.lewis@orange.fr,,,ST13FJ,,Garry_Lewis,2025-01-01,True,10,5,garry.lewis@orange.fr,ST1 3FJ
MARKETING,MKT000028,,,MKT000028,,,,,,,Shaun_Reed,shaun.reed@hotmail.com,,,PO1 5GX,,,,shaunreed,shaun.reed@hotmail.com,,,PO15GX,,Shaun_Reed,2025-01-02,False,10,1,shaun.reed@hotmail.com,PO1 5GX
MARKETING,MKT000029,,,MKT000029,,,,,,,Lynne_Ferguson,lynne.ferguson@gmail.com,,,S40 6UN,,,,lynneferguson,lynne.ferguson@gmail.com,,,S406UN,,Lynne_Ferguson,2025-01-02,True,5,2,lynne.ferguson@gmail.com,S40 6UN
MARKETING,MKT000030,,,MKT000030,,,,,,,Derek_Morris,derek.morris@hotmail.com,,,BH1 0ON,,,,derekmorris,derek.morris@hotmail.com,,,BH10ON,,Derek_Morris,2025-01-02,True,6,0,derek.morris@hotmail.com,BH1 0ON
