source_system,source_record_id,crm_customer_id,transaction_id,marketing_contact_id,session_id,support_ticket_id,portal_user_id,linked_transaction_id,first_name_raw,surname_raw,full_name_raw,email_raw,phone_raw,address_raw,postcode_raw,date_of_birth_raw,first_name_normalised,surname_normalised,full_name_normalised,email_normalised,phone_normalised,address_normalised,postcode_normalised,date_of_birth_normalised,support_ticket_created_date_time,requester_name,requester_email,requester_phone,contact_channel,issue_category,ticket_status,resolution_time_hours_minutes
SUPPORT,SUP000001,,,,,SUP000001,,,,,Hollie Smith,hollie.smith@yahoo.fr,+44 7962334231,,,,,,holliesmith,hollie.smith@yahoo.fr,07962334231,,,,2025-01-01 03:37:46,Hollie Smith,hollie.smith@yahoo.fr,+44 7962334231,Email,Complaint,Resolved,38:56
SUPPORT,SUP000002,,,,,SUP000002,,,,,Vincent Gregory,vincent.gregory@gmail.com,+44 7789656227,,,,,,vincentgregory,vincent.gregory@gmail.com,07789656227,,,,2025-01-01 05:49:50,Vincent Gregory,vincent.gregory@gmail.com,+44 7789656227,Email,Complaint,Resolved,38:55
SUPPORT,SUP000003,,,,,SUP000003,,,,,Kimberley Patel,kimberley.patel@hotmail.com,+44 7507794405,,,,,,kimberleypatel,kimberley.patel@hotmail.com,07507794405,,,,2025-01-01 06:40:57,Kimberley Patel,kimberley.patel@hotmail.com,+44 7507794405,Email,Refund request,Resolved,42:59
SUPPORT,SUP000004,,,,,SUP000004,,,,,Debra Forster,debra.forster@hotmail.com,+44 7133863501,,,,,,debraforster,debra.forster@hotmail.com,07133863501,,,,2025-01-01 08:32:08,Debra Forster,debra.forster@hotmail.com,+44 7133863501,Phone,Refund request,Resolved,33:35
SUPPORT,SUP000005,,,,,SUP000005,,,,,Alison Hall,alison.hall@yahoo.com,+44 7039760254,,,,,,alisonhall,alison.hall@yahoo.com,07039760254,,,,2025-01-01 12:24:16,Alison Hall,alison.hall@yahoo.com,+44 7039760254,Phone,Complaint,Resolved,08:12
SUPPORT,SUP000006,,,,,SUP000006,,,,,Geoffrey Hill,geoffrey.hill@hotmail.com,+44 7607153863,,,,,,geoffreyhill,geoffrey.hill@hotmail.com,07607153863,,,,2025-01-01 13:56:05,Geoffrey Hill,geoffrey.hill@hotmail.com,+44 7607153863,Email,Complaint,Resolved,20:07
SUPPORT,SUP000007,,,,,SUP000007,,,,,Natasha Baldwin,natasha.baldwin@gmail.com,+44 7963877746,,,,,,natashabaldwin,natasha.baldwin@gmail.com,07963877746,,,,2025-01-01 15:11:06,Natasha Baldwin,natasha.baldwin@gmail.com,+44 7963877746,Email,Refund request,Resolved,43:51
SUPPORT,SUP000008,,,,,SUP000008,,,,,Lydia Foster,lydia.foster@hotmail.co.uk,+44 7288908408,,,,,,lydiafoster,lydia.foster@hotmail.co.uk,07288908408,,,,2025-01-01 15:48:12,Lydia Foster,lydia.foster@hotmail.co.uk,+44 7288908408,Email,Accessibility,Resolved,03:53
SUPPORT,SUP000009,,,,,SUP000009,,,,,Dawn Lynch,dawn.lynch@yahoo.com,+44 7833307013,,,,,,dawnlynch,dawn.lynch@yahoo.com,07833307013,,,,2025-01-01 16:06:29,Dawn Lynch,dawn.lynch@yahoo.com,+44 7833307013,Email,Enquiry,Resolved,03:20
SUPPORT,SUP000010,,,,,SUP000010,,,,,Shaun Booth,shaun.booth@gmail.com,+44 7697275107,,,,,,shaunbooth,shaun.booth@gmail.com,07697275107,,,,2025-01-01 19:18:14,Shaun Booth,shaun.booth@gmail.com,+44 7697275107,Email,Refund request,Resolved,02:22
SUPPORT,SUP000011,,,,,SUP000011,,,,,Toby Hanon,toby.hanson@gmail.com,+44 7549076479,,,,,,tobyhanon,toby.hanson@gmail.com,07549076479,,,,2025-01-01 20:12:56,Toby Hanon,toby.hanson@gmail.com,+44 7549076479,Email,Complaint,Resolved,29:37
SUPPORT,SUP000012,,,,,SUP000012,,,,,Garry Brown,garry.brown@gmail.com,+44 7076883215,,,,,,garrybrown,garry.brown@gmail.com,07076883215,,,,2025-01-01 22:23:54,Garry Brown,garry.brown@gmail.com,+44 7076883215,Email,Complaint,Resolved,17:33
SUPPORT,SUP000013,,,,,SUP000013,,,,,Jean Turner,jean.turner@gmail.com,+44 7360291317,,,,,,jeanturner,jean.turner@gmail.com,07360291317,,,,2025-01-01 23:45:37,Jean Turner,jean.turner@gmail.com,+44 7360291317,Phone,Accessibility,Resolved,23:55
SUPPORT,SUP000014,,,,,SUP000014,,,,,Lynne Ford,lynne.ford@yahoo.com,+44 7766995270,,,,,,lynneford,lynne.ford@yahoo.com,07766995270,,,,2025-01-02 02:30:57,Lynne Ford,lynne.ford@yahoo.com,+44 7766995270,Email,Refund request,Resolved,08:30
SUPPORT,SUP000015,,,,,SUP000015,,,,,Martin Benson,martin.benson@hotmail.com,+44 7543066694,,,,,,martinbenson,martin.benson@hotmail.com,07543066694,,,,2025-01-02 02:36:36,Martin Benson,martin.benson@hotmail.com,+44 7543066694,Phone,Enquiry,Resolved,02:56
SUPPORT,SUP000016,,,,,SUP000016,,,,,Bradley Smith,bradley.smith@aol.com,,,,,,,bradleysmith,bradley.smith@aol.com,,,,,2025-01-02 08:21:12,Bradley Smith,bradley.smith@aol.com,,Email,Refund request,Resolved,07:43
SUPPORT,SUP000017,,,,,SUP000017,,,,,Sheila Smith,sheila.smih@yahoo.com,,,,,,,sheilasmith,sheila.smih@yahoo.com,,,,,2025-01-02 11:50:10,Sheila Smith,sheila.smih@yahoo.com,,Email,Refund request,Resolved,32:07
SUPPORT,SUP000018,,,,,SUP000018,,,,,Bethany Brown,bethany.brown@aol.com,+44 7795857901,,,,,,bethanybrown,bethany.brown@aol.com,07795857901,,,,2025-01-02 13:17:53,Bethany Brown,bethany.brown@aol.com,+44 7795857901,Email,Refund request,Resolved,11:53
SUPPORT,SUP000019,,,,,SUP000019,,,,,Joanna Martin,joanna.martin@hotmail.co.uk,+44 7348905937,,,,,,joannamartin,joanna.martin@hotmail.co.uk,07348905937,,,,2025-01-02 18:22:02,Joanna Martin,joanna.martin@hotmail.co.uk,+44 7348905937,Email,Complaint,Resolved,14:41
SUPPORT,SUP000020,,,,,SUP000020,,,,,Phillip McDonald,phillip.mcdonald@gmail.com,+44 7398243903,,,,,,phillipmcdonald,phillip.mcdonald@gmail.com,07398243903,,,,2025-01-02 19:49:39,Phillip McDonald,phillip.mcdonald@gmail.com,+44 7398243903,Email,Enquiry,Resolved,04:04
SUPPORT,SUP000021,,,,,SUP000021,,,,,Lesley Gibbs,lesley.gibbs@yahoo.com,,,,,,,lesleygibbs,lesley.gibbs@yahoo.com,,,,,2025-01-02 21:44:20,Lesley Gibbs,lesley.gibbs@yahoo.com,,Email,Refund request,Resolved,05:11
