staging_record_id,source_system,source_record_id,deterministic_cluster_id,probabilistic_cluster_id,resolution_status,match_method,cluster_size,deterministic_cluster_count,cluster_confidence,cluster_confidence_type,deterministic_linking_rules,crm_customer_id,transaction_id,marketing_contact_id,session_id,support_ticket_id,portal_user_id,linked_transaction_id,first_name_raw,surname_raw,full_name_raw,email_raw,phone_raw,address_raw,postcode_raw,date_of_birth_raw,first_name_normalised,surname_normalised,full_name_normalised,email_normalised,phone_normalised,address_normalised,postcode_normalised,date_of_birth_normalised,record_created_date,preferred_contact_channel,first_name,surname,date_of_birth,email,telephone_number,address,postcode,transaction_date_time,guest_transaction,billing_address,billing_postcode,event_id,event_name,event_category,event_date,ticket_type,ticket_quantity,unit_price,transaction_total,card_brand,cardholder_name,card_last_4,purchaser_first_name,purchaser_surname,contact_name,last_contact_date,consent_status,emails_opened_count,links_clicked_count,guest_session,session_date_time_start,session_date_time_end,session_duration_seconds,device_type,basket_created,basket_converted,support_ticket_created_date_time,requester_name,requester_email,requester_phone,contact_channel,issue_category,ticket_status,resolution_time_hours_minutes
STG000058,CRM,CRM000058,DCL000058,PCL000058,unresolved_singleton,Unresolved,1,1,,,,CRM000058,,,,,,,Grace,Williams,Grace Williams,,07047473497,"6 Rogers Creek, Guildford",GU1 6PN,1955-12-01,grace,williams,gracewilliams,,07047473497,6 rogers creek guildford,GU16PN,1955-12-01,2022-12-16,Mail,Grace,Williams,1955-12-01,,07047473497,"6 Rogers Creek, Guildford",GU1 6PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000087,CRM,CRM000087,DCL000087,PCL000087,unresolved_singleton,Unresolved,1,1,,,,CRM000087,,,,,,,rGaham,Gardner,rGaham Gardner,graham.gardner@gmail.com,+44 7340706414,"63 Mills Island, Swansea",SA1 1VM,1977-06-03,rgaham,gardner,rgahamgardner,graham.gardner@gmail.com,07340706414,63 mills island swansea,SA11VM,1977-06-03,2020-06-21,Email,rGaham,Gardner,1977-06-03,graham.gardner@gmail.com,+44 7340706414,"63 Mills Island, Swansea",SA1 1VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000150,CRM,CRM000150,DCL000150,PCL000150,unresolved_singleton,Unresolved,1,1,,,,CRM000150,,,,,,,Louis,Rogers,Louis Rogers,louis.rogers@yahoo.com,+44 7446 393347,"593 Norman Flat, Brighton",BN1 5NC,2002-12-28,louis,rogers,louisrogers,louis.rogers@yahoo.com,07446393347,593 norman flat brighton,BN15NC,2002-12-28,2021-05-07,Telephone,Louis,Rogers,2002-12-28,louis.rogers@yahoo.com,+44 7446 393347,"593 Norman Flat, Brighton",BN1 5NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000188,CRM,CRM000188,DCL000188,PCL000188,unresolved_singleton,Unresolved,1,1,,,,CRM000188,,,,,,,Victor,Thompson,Victor Thompson,victor.thompson@hotmail.com,+44 7609412010,"2 Holmes Village, Chester",CH1 7TG,1952-11-23,victor,thompson,victorthompson,victor.thompson@hotmail.com,07609412010,2 holmes village chester,CH17TG,1952-11-23,2023-12-03,Email,Victor,Thompson,1952-11-23,victor.thompson@hotmail.com,+44 7609412010,"2 Holmes Village, Chester",CH1 7TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000228,CRM,CRM000228,DCL000228,PCL000228,unresolved_singleton,Unresolved,1,1,,,,CRM000228,,,,,,,Karl,Stone,Karl Stone,karl.stone@yahoo.com,0044 7235509257,"Flat 58, White Rapid, Perth",PH10BQ,2007-04-01,karl,stone,karlstone,karl.stone@yahoo.com,07235509257,flat 58 white rapid perth,PH10BQ,2007-04-01,2025-11-24,Telephone,Karl,Stone,2007-04-01,karl.stone@yahoo.com,0044 7235509257,"Flat 58, White Rapid, Perth",PH10BQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000235,CRM,CRM000235,DCL000235,PCL000235,unresolved_singleton,Unresolved,1,1,,,,CRM000235,,,,,,,Helen,Freeman,Helen Freeman,helen.freeman@hotmail.com,+44 7080985652,"2 Judith Junctions, Plymouth",PL1 6CP,1972-10-15,helen,freeman,helenfreeman,helen.freeman@hotmail.com,07080985652,2 judith junctions plymouth,PL16CP,1972-10-15,2020-08-30,Mail,Helen,Freeman,1972-10-15,helen.freeman@hotmail.com,+44 7080985652,"2 Judith Junctions, Plymouth",PL1 6CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000278,CRM,CRM000278,DCL000278,PCL000278,unresolved_singleton,Unresolved,1,1,,,,CRM000278,,,,,,,Jeffrey,Lane,Jeffrey Lane,jeffrey.lane@gmail.com,+44 7096969117,"Studio 40Q, Patel Rue, Guildford",GU1 8FT,1986-05-24,jeffrey,lane,jeffreylane,jeffrey.lane@gmail.com,07096969117,studio 40q patel rue guildford,GU18FT,1986-05-24,2020-09-20,Email,Jeffrey,Lane,1986-05-24,jeffrey.lane@gmail.com,+44 7096969117,"Studio 40Q, Patel Rue, Guildford",GU1 8FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000392,CRM,CRM000392,DCL000392,PCL000392,unresolved_singleton,Unresolved,1,1,,,,CRM000392,,,,,,,Joan,Murphy,Joan Murphy,joan.murphy@gmail.com,+44 7858965453,"Studio 53, Aaron Well, Lisburn",BT27 9SA,2002-06-08,joan,murphy,joanmurphy,joan.murphy@gmail.com,07858965453,studio 53 aaron well lisburn,BT279SA,2002-06-08,2023-01-28,Mail,Joan,Murphy,2002-06-08,joan.murphy@gmail.com,+44 7858965453,"Studio 53, Aaron Well, Lisburn",BT27 9SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000416,CRM,CRM000416,DCL000416,PCL000416,unresolved_singleton,Unresolved,1,1,,,,CRM000416,,,,,,,Geoffrey,Barlow,Geoffrey Barlow,geoffrey.barlow@hotmail.fr,+44 7159465689,"Flat 2, Miller View, Peterborough",PE1 0ZV,1952-05-10,geoffrey,barlow,geoffreybarlow,geoffrey.barlow@hotmail.fr,07159465689,flat 2 miller view peterborough,PE10ZV,1952-05-10,2025-06-22,Mail,Geoffrey,Barlow,1952-05-10,geoffrey.barlow@hotmail.fr,+44 7159465689,"Flat 2, Miller View, Peterborough",PE1 0ZV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STG000492,CRM,CRM000492,DCL000492,PCL000492,unresolved_singleton,Unresolved,1,1,,,,CRM000492,,,,,,,Joshua,Harris,Joshua Harris,joshua.harris@gmail.com,07036430195,"Flat 11v, Nicola Estates, Northampton",NN1 6UE,1954-01-17,joshua,harris,joshuaharris,joshua.harris@gmail.com,07036430195,flat 11v nicola estates northampton,NN16UE,1954-01-17,2021-12-03,Email,Joshua,Harris,1954-01-17,joshua.harris@gmail.com,07036430195,"Flat 11v, Nicola Estates, Northampton",NN1 6UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
